# 66 addresses still unresolved after v2 algorithm.
[Beaujolais               ] Multiple sites: Chateau de Pizay, Chateau de Poncie, Caveau du Cru Morgon, Domaine de la Grange-Charton, Villie-Morgon area
[Bordeaux                 ] Chateaux across the Medoc, Pessac-Leognan, Saint-Emilion and Pomerol, Bordeaux region, France
[Douro Valley             ] Cais do Pinhão, 5085 Pinhão, Portugal
[Piedmont                 ] Alba, 12051 Province of Cuneo, Piedmont, Italy
[Piedmont                 ] Asti, 14100 Province of Asti, Piedmont, Italy
[Piedmont                 ] Barbaresco, 12050 Province of Cuneo, Piedmont, Italy
[Piedmont                 ] Barolo, 12060 Province of Cuneo, Piedmont, Italy
[Piedmont                 ] Canale, 12043 Province of Cuneo, Piedmont, Italy
[Piedmont                 ] Canelli, 14053 Province of Asti, Piedmont, Italy
[Piedmont                 ] Castiglione Falletto, 12060 Province of Cuneo, Piedmont, Italy
[Piedmont                 ] Dogliani, 12063 Province of Cuneo, Piedmont, Italy
[Piedmont                 ] Gavi, 15066 Province of Alessandria, Piedmont, Italy
[Piedmont                 ] La Morra, 12064 Province of Cuneo, Piedmont, Italy
[Piedmont                 ] Localita Manera 1, 12050 Benevello CN, Italy
[Piedmont                 ] Localita Talloria 1, 12050 Cerretto Langhe CN, Italy
[Piedmont                 ] Monforte d'Alba, 12065 Province of Cuneo, Piedmont, Italy
[Piedmont                 ] Piazza Luigi Rossi 2, Frazione Pessione, 10023 Chieri TO, Italy
[Piedmont                 ] Piazza Luigi Rossi 2, frazione Pessione, 10023 Chieri, Italy
[Piedmont                 ] Piazza Vittorio Emanuele II 13, 12042 Pollenzo, Bra CN, Italy
[Piedmont                 ] Serralunga d'Alba, 12050 Province of Cuneo, Piedmont, Italy
[Piedmont                 ] Strada Nizza-Canelli 14, 14042 Calamandrana AT, Italy
[Piedmont                 ] Via Alba 68, 14053 Canelli AT, Italy
[Piedmont                 ] Via Alba 68, 14053 Canelli, Italy
[Piedmont                 ] Via Annunziata 17, 14054 Castagnole delle Lanze AT, Italy
[Piedmont                 ] Via Borgonuovo 108, 12060 Monchiero CN, Italy
[Piedmont                 ] Via Roma 94, 14030 Rocchetta Tanaro AT, Italy
[Rhone Valley             ] Cotes du Rhone Villages, Vaucluse and Gard, France
[Ribera del Duero         ] Multiple bodegas across the DO
[Ribera del Duero         ] Ribera del Duero, Valladolid province
[Ribera del Duero         ] Ribera del Duero, Valladolid province, Spain
[Ribera del Duero         ] Various wine bars, Aranda de Duero and Valladolid
[Veneto                   ] Valdobbiadene area, Treviso Province, Italy
[Wachau                   ] 3601 Dürnstein 2, Wachau, Austria
[Wachau                   ] 3601 Dürnstein 64, Dürnstein, Austria
[Wachau                   ] 3601 Dürnstein 8, Dürnstein, Austria
[Wachau                   ] 3601 Dürnstein, Wachau, Austria
[Wachau                   ] Am Hinterweg 17, 3620 Spitz an der Donau, Austria
[Wachau                   ] Auf der Wehr 21, 3620 Spitz an der Donau, Austria
[Wachau                   ] Feldgasse 34, 3620 Spitz an der Donau, Austria
[Wachau                   ] Gut am Steg 11, 3620 Spitz an der Donau, Austria
[Wachau                   ] Hauptstrasse 15, 3620 Spitz an der Donau
[Wachau                   ] Hauptstrasse 71, 3620 Spitz an der Donau
[Wachau                   ] Hauptstraße 66, 3620 Spitz an der Donau, Austria
[Wachau                   ] Hofstrasse 6, 3620 Spitz an der Donau, Austria
[Wachau                   ] Hotel pickup from all Wachau valley accommodations; office@radler-rast.com
[Wachau                   ] In der Spitz 3, 3620 Spitz an der Donau, Austria
[Wachau                   ] Kellergasse 5, 3620 Spitz an der Donau, Austria
[Wachau                   ] Kirchenplatz 3, 3620 Spitz an der Donau, Austria
[Wachau                   ] Kremserstraße 8, 3620 Spitz an der Donau, Austria
[Wachau                   ] Loisiumallee 2, 3550 Langenlois, Kamptal
[Wachau                   ] Marktstraße 5, 3620 Spitz an der Donau, Austria
[Wachau                   ] Nussdorfer Straße 15, 3620 Spitz an der Donau, Austria
[Wachau                   ] Ober-Spitz 14, 3620 Spitz an der Donau, Austria
[Wachau                   ] Radlbach 11, 3620 Spitz an der Donau, Austria
[Wachau                   ] Schlossgasse 3, 3620 Spitz an der Donau, Austria
[Wachau                   ] Schwallenbach 10, 3620 Spitz an der Donau, Austria
[Wachau                   ] Spitz an der Donau 29, 3620 Spitz an der Donau
[Wachau                   ] Spitz an der Donau 34, 3620 Spitz an der Donau
[Wachau                   ] Stift Gottweig, 3511 Furth bei Gottweig
[Wachau                   ] Thal-Wachau 5, 3623 Kottes-Purk, Wachau
[Wachau                   ] Tourist Information Spitz, Mittergasse 3a, 3620 Spitz an der Donau, Austria
[Wachau                   ] Vießling 31, 3620 Spitz an der Donau, Austria
[Wachau                   ] Vogelleithen 10, 3620 Spitz an der Donau, Austria
[Wachau                   ] Vorderarnsdorf 10, 3610 Spitz an der Donau, Austria
[Wachau                   ] Zum Kirchdorfergut 1, 4062 Kirchberg-Thening, Austria
[Wachau                   ] Ötz 16, 3622 Mühldorf bei Spitz, Austria
